timestamp,meanLeft,meanRight,varS1,varS2,varS3,varS4,varS5,varS6,varS7,varS8,varS9,varS10,varS11,varS12,varS13,varS14,varS15,varS16
15471,961,945,3839.08,3841.54,3844.0,3844.0,40778.12,3839.08,88050.06,3834.16,6084.0,6071.6,6071.6,6071.6,6071.6,6071.6,6071.6,6071.6,
15491,960,942,3964.0,3966.5,3969.0,3966.5,40912.46,3964.0,89895.74,3956.5,6561.0,6544.9,6544.9,6544.9,6544.9,6544.9,6544.9,6544.9,
15512,959,940,4090.92,4093.46,4096.0,4090.92,40795.82,4090.92,90738.12,4085.84,6889.0,6875.8,6875.8,6875.8,6875.8,6875.8,6875.8,6875.8,
15532,958,939,4219.84,4222.42,4225.0,4219.84,40513.88,4219.84,91051.2,4217.26,7056.0,7045.98,7045.98,7045.98,7045.98,7045.98,7045.98,7045.98,
15553,958,938,4219.84,4222.42,4225.0,4219.84,40439.96,4219.84,91464.34,4217.26,7221.62,7214.86,7214.86,7214.86,7214.86,7214.86,7214.86,7214.86,
15573,958,937,4219.84,4222.42,4225.0,4219.84,40420.44,4219.84,91621.72,4217.26,7392.58,7385.74,7385.74,7385.74,7385.74,7385.74,7385.74,7385.74,
15594,958,936,4219.84,4222.42,4225.0,4219.84,40420.44,4219.84,91605.64,4217.26,7565.54,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,
15614,958,936,4219.84,4222.42,4225.0,4219.84,40420.44,4219.84,91529.98,4217.26,7565.54,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,
15635,958,936,4219.84,4222.42,4225.0,4219.84,40420.44,4219.84,91455.5,4217.26,7565.54,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,
15655,958,936,4219.84,4222.42,4225.0,4219.84,40420.44,4219.84,91373.58,4217.26,7565.54,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,
15676,958,936,4219.84,4222.42,4225.0,4219.84,40420.44,4219.84,91304.46,4217.26,7565.54,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,
15696,959,936,4090.92,4093.46,4096.0,4090.92,40676.32,4090.92,91771.36,4088.38,7565.54,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,
15723,959,936,4090.92,4093.46,4096.0,4090.92,40676.32,4090.92,91737.46,4088.38,7565.54,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,
15744,959,936,4090.92,4093.46,4096.0,4090.92,40676.32,4090.92,91698.58,4088.38,7565.54,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,
15764,959,936,4090.92,4093.46,4096.0,4090.92,40678.86,4090.92,91646.08,4088.38,7565.54,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,
15789,960,936,3964.0,3966.5,3969.0,3964.0,40936.7,3964.0,92100.2,3961.5,7565.54,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,
15814,960,936,3964.0,3966.5,3969.0,3964.0,40936.7,3964.0,92097.86,3961.5,7565.54,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,
15834,960,936,3964.0,3966.5,3969.0,3964.0,40936.7,3964.0,92086.76,3961.5,7565.54,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,
15854,961,936,3839.08,3841.54,3844.0,3839.08,41196.54,3839.08,92549.3,3836.62,7565.54,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,
15875,961,936,3839.08,3841.54,3844.0,3839.08,41208.44,3839.08,92428.98,3836.62,7565.54,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,
15895,961,936,3839.08,3841.54,3844.0,3839.08,41264.84,3839.08,92229.3,3836.62,7565.54,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,
15915,961,936,3839.08,3841.54,3844.0,3839.08,41336.6,3839.08,91963.08,3836.62,7565.54,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,7558.62,
15936,962,937,3716.16,3718.58,3718.58,3716.16,41649.12,3716.16,91937.92,3713.74,7392.58,7385.74,7385.74,7385.74,7385.74,7385.74,7385.74,7385.74,
15969,963,937,3595.24,3597.62,3597.62,3595.24,41922.68,3595.24,91770.38,3592.86,7392.58,7385.74,7385.74,7385.74,7385.74,7385.74,7385.74,7385.74,
15989,963,938,3595.24,3597.62,3597.62,3595.24,41748.26,3597.62,90886.88,3592.86,7221.62,7214.86,7214.86,7214.86,7214.86,7214.86,7214.86,7214.86,
16010,964,939,3476.32,3478.66,3478.66,3476.32,41637.88,3481.0,90003.24,3473.98,7052.66,7045.98,7045.98,7045.98,7045.98,7045.98,7045.98,7045.98,
16031,965,940,3359.4,3361.7,3361.7,3359.4,41530.56,3364.0,89034.9,3357.1,6885.7,6879.1,6879.1,6879.1,6879.1,6879.1,6879.1,6879.1,
