timestamp,meanLeft,meanRight,varS1,varS2,varS3,varS4,varS5,varS6,varS7,varS8,varS9,varS10,varS11,varS12,varS13,varS14,varS15,varS16
9253,1017,1017,36.0,35.56,35.12,36.0,36.0,35.56,10752.72,36.0,35.78,36.0,36.0,36.0,36.0,36.0,36.0,36.0,
9273,1016,1015,49.0,48.48,47.96,48.74,49.0,48.48,12666.26,49.0,63.7,64.0,64.0,64.0,64.0,64.0,64.0,64.0,
9301,1015,1012,64.0,63.4,62.8,63.7,64.0,63.4,15007.48,64.0,120.58,121.0,121.0,121.0,121.0,121.0,121.0,121.0,
9321,1014,1010,81.0,80.32,79.64,80.66,81.0,80.32,17579.18,81.0,168.5,169.0,169.0,169.0,169.0,169.0,169.0,169.0,
9342,1013,1007,100.0,99.24,98.48,99.62,100.0,99.24,20285.9,100.0,255.38,256.0,256.0,256.0,256.0,256.0,256.0,256.0,
9362,1012,1004,121.0,120.16,119.32,120.58,121.0,120.16,22889.24,121.0,360.26,361.0,361.0,361.0,361.0,361.0,361.0,361.0,
9382,1011,1001,144.0,143.08,141.7,143.54,144.0,143.08,25376.26,144.0,483.14,484.0,484.0,484.0,484.0,484.0,484.0,484.0,
9402,1010,998,169.0,168.0,166.0,168.5,169.0,168.0,27820.82,169.0,624.02,625.0,625.0,625.0,625.0,625.0,625.0,625.0,
9422,1009,994,196.0,194.38,192.76,195.46,196.0,194.92,30656.34,196.0,839.86,841.0,841.0,841.0,841.0,841.0,841.0,841.0,
9442,1008,991,225.0,222.68,221.52,224.42,225.0,223.84,33994.9,225.0,1022.74,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,
9462,1007,987,256.0,252.9,252.28,255.38,256.0,254.76,37504.74,256.0,1294.58,1296.0,1296.0,1296.0,1296.0,1296.0,1296.0,1296.0,
9482,1006,983,289.0,285.7,285.04,288.34,289.0,287.68,41171.86,288.34,1600.0,1598.42,1598.42,1598.42,1598.42,1598.42,1598.42,1598.42,
9502,1005,979,324.0,320.5,320.5,323.3,324.0,322.6,45091.06,323.3,1936.0,1934.26,1934.26,1934.26,1934.26,1934.26,1934.26,1934.26,
9522,1003,974,400.0,396.1,396.88,399.22,400.0,398.44,48707.38,399.22,2401.0,2399.06,2399.06,2399.06,2399.06,2399.06,2399.06,2399.06,
9543,1002,970,441.0,436.9,437.72,440.18,441.0,439.36,52429.78,440.18,2809.0,2806.9,2806.9,2806.9,2806.9,2806.9,2806.9,2806.9,
9563,1001,966,484.0,479.7,481.42,483.14,484.0,481.42,56170.44,483.14,3249.0,3246.74,3246.74,3246.74,3246.74,3246.74,3246.74,3246.74,
9584,1000,961,529.0,524.5,526.3,528.1,529.0,525.4,60001.84,528.1,3844.0,3841.54,3841.54,3841.54,3841.54,3841.54,3841.54,3841.54,
9604,999,957,576.0,571.3,573.18,575.06,576.0,572.24,63962.06,575.06,4356.0,4353.38,4353.38,4353.38,4353.38,4353.38,4353.38,4353.38,
9625,997,952,676.0,670.9,672.94,674.98,676.0,671.92,67739.98,673.96,5041.0,5035.36,5035.36,5035.36,5035.36,5035.36,5035.36,5035.36,
9645,996,948,729.0,723.7,725.82,727.94,729.0,724.76,72022.84,726.88,5625.0,5619.04,5619.04,5619.04,5619.04,5619.04,5619.04,5619.04,
9665,995,943,784.0,778.5,780.7,782.9,784.0,779.6,76286.24,781.8,6400.0,6393.64,6393.64,6393.64,6393.64,6393.64,6393.64,6393.64,
9685,994,938,841.0,835.3,837.58,839.86,841.0,836.44,80568.74,838.72,7225.0,7218.24,7218.24,7218.24,7218.24,7218.24,7218.24,7218.24,
9706,992,934,961.0,954.9,957.34,959.78,961.0,956.12,84505.76,958.56,7921.0,7913.92,7913.92,7913.92,7913.92,7913.92,7913.92,7913.92,
9726,991,929,1024.0,1017.7,1020.22,1022.74,1024.0,1018.96,88905.48,1021.48,8836.0,8828.52,8828.52,8828.52,8828.52,8828.52,8828.52,8828.52,
9746,990,924,1089.0,1082.5,1085.1,1087.7,1089.0,1083.8,93284.94,1086.4,9801.0,9793.12,9793.12,9793.12,9793.12,9793.12,9793.12,9793.12,
9766,988,919,1225.0,1219.48,1220.86,1223.62,1225.0,1219.48,97165.98,1222.24,10816.0,10807.72,10807.72,10807.72,10807.72,10807.72,10807.72,10807.72,
9786,987,915,1296.0,1291.74,1291.74,1294.58,1296.0,1290.32,101407.36,1293.16,11664.0,11655.4,11655.4,11655.4,11655.4,11655.4,11655.4,11655.4,
9806,986,910,1369.0,1364.62,1364.62,1367.54,1369.0,1363.16,105473.8,1366.08,12769.0,12760.0,12760.0,12760.0,12760.0,12760.0,12760.0,12760.0,
9828,984,905,1521.0,1516.38,1516.38,1519.46,1521.0,1514.84,108798.58,1517.92,13924.0,13914.6,13914.6,13914.6,13914.6,13914.6,13914.6,13914.6,
9848,983,901,1600.0,1595.26,1593.68,1598.42,1600.0,1593.68,112126.28,1596.84,14884.0,14874.28,14874.28,14874.28,14874.28,14874.28,14874.28,14874.28,
9868,982,898,1681.0,1676.14,1674.52,1679.38,1679.38,1676.14,114761.52,1677.76,15625.0,15615.04,15615.04,15615.04,15615.04,15615.04,15615.04,15615.04,
9888,981,895,1764.0,1759.02,1757.36,1762.34,1762.34,1760.68,116224.22,1760.68,16384.0,16373.8,16373.8,16373.8,16373.8,16373.8,16373.8,16373.8,
9908,981,893,1764.0,1759.02,1757.36,1762.34,1762.34,1760.68,117293.44,1759.02,16900.0,16884.46,16884.46,16884.46,16884.46,16884.46,16884.46,16884.46,
9929,980,892,1849.0,1843.9,1842.2,1847.3,1847.3,1845.6,117227.8,1843.9,17161.0,17145.34,17145.34,17145.34,17145.34,17145.34,17145.34,17145.34,
9949,980,891,1849.0,1843.9,1842.2,1847.3,1847.3,1845.6,117424.1,1843.9,17424.0,17408.22,17408.22,17408.22,17408.22,17408.22,17408.22,17408.22,
9969,979,890,1936.0,1930.78,1929.04,1934.26,1934.26,1932.52,116881.72,1930.78,17689.0,17673.1,17673.1,17673.1,17673.1,17673.1,17673.1,17673.1,
9996,979,890,1936.0,1930.78,1929.04,1934.26,1934.26,1932.52,116848.12,1930.78,17689.0,17673.1,17673.1,17673.1,17673.1,17673.1,17673.1,17673.1,
10023,979,890,1936.0,1930.78,1929.04,1934.26,1934.26,1932.52,116814.52,1930.78,17689.0,17673.1,17673.1,17673.1,17673.1,17673.1,17673.1,17673.1,
10043,979,890,1936.0,1930.78,1929.04,1934.26,1934.26,1932.52,116818.12,1930.78,17689.0,17673.1,17673.1,17673.1,17673.1,17673.1,17673.1,17673.1,
10063,979,890,1936.0,1930.78,1929.04,1934.26,1934.26,1932.52,116895.64,1930.78,17689.0,17673.1,17673.1,17673.1,17673.1,17673.1,17673.1,17673.1,
10083,979,890,1936.0,1930.78,1929.04,1934.26,1934.26,1932.52,116960.5,1930.78,17689.0,17673.1,17673.1,17673.1,17673.1,17673.1,17673.1,17673.1,
