timestamp,meanLeft,meanRight,varS1,varS2,varS3,varS4,varS5,varS6,varS7,varS8,varS9,varS10,varS11,varS12,varS13,varS14,varS15,varS16
15833,1022,1022,1.0,1.0,1.0,1.0,1.0,0.94,1.0,0.98,1.0,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
15853,1022,1022,1.0,1.0,1.0,1.0,1.0,0.94,1.0,0.98,1.0,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
15873,1022,1022,1.0,1.0,1.0,1.0,1.0,0.94,1.0,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
15893,1022,1022,1.0,1.0,1.0,1.0,1.0,0.94,1.0,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
15913,1022,1022,1.0,1.0,1.0,1.0,1.0,0.94,1.0,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
15933,1022,1022,1.0,1.0,1.0,1.0,1.0,0.94,1.0,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
15953,1022,1022,1.0,1.0,1.0,1.0,1.0,0.94,1.0,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
15973,1022,1022,1.0,1.0,1.0,1.0,1.0,0.94,1.0,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
15993,1022,1022,1.0,1.0,1.0,1.0,1.0,0.94,1.0,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
16013,1022,1022,1.0,1.0,1.0,1.0,1.0,0.94,1.0,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
16033,1022,1022,1.0,1.0,1.0,1.0,1.0,0.94,1.0,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
16054,1022,1022,1.0,1.0,1.0,1.0,1.0,0.94,1.0,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
