timestamp,meanLeft,meanRight,varS1,varS2,varS3,varS4,varS5,varS6,varS7,varS8,varS9,varS10,varS11,varS12,varS13,varS14,varS15,varS16
11459,1022,1022,1.0,1.0,0.96,0.92,1.0,0.98,0.86,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
11479,1022,1022,1.0,1.0,0.96,0.92,1.0,0.98,0.86,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
11499,1022,1022,1.0,1.0,0.96,0.92,1.0,0.98,0.88,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
11520,1022,1022,1.0,1.0,0.96,0.92,1.0,0.98,0.88,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
11540,1022,1022,1.0,1.0,0.96,0.92,1.0,0.98,0.88,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
11561,1022,1022,1.0,1.0,0.96,0.92,1.0,0.98,0.88,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
11581,1022,1022,1.0,1.0,0.96,0.92,0.98,0.98,0.88,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
11601,1022,1022,1.0,1.0,0.96,0.92,0.96,0.98,0.88,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
11621,1022,1022,1.0,1.0,0.96,0.92,0.96,0.98,0.88,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
11641,1022,1022,1.0,1.0,0.96,0.92,0.96,0.98,0.86,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
11661,1022,1022,1.0,1.0,0.96,0.92,0.96,0.98,0.84,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
11682,1022,1022,1.0,1.0,0.96,0.92,0.96,0.98,0.84,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
11702,1022,1022,1.0,1.0,0.96,0.92,0.96,0.98,0.84,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
11722,1022,1022,1.0,1.0,0.96,0.92,0.96,0.98,0.84,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
11742,1022,1022,1.0,1.0,0.96,0.92,0.94,0.98,0.84,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
11763,1022,1022,1.0,1.0,0.96,0.94,0.94,0.98,0.84,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
11783,1022,1022,1.0,1.0,0.96,0.96,0.94,0.98,0.84,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
11803,1022,1022,1.0,1.0,0.96,0.96,0.94,0.98,0.86,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
11823,1022,1022,1.0,1.0,0.96,0.96,0.94,0.98,0.88,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
11843,1022,1022,1.0,1.0,0.98,0.96,0.94,0.98,0.88,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
11863,1022,1022,1.0,1.0,1.0,0.96,0.94,0.98,0.88,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
11884,1022,1022,1.0,1.0,1.0,0.96,0.94,0.98,0.88,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
11904,1022,1022,1.0,1.0,1.0,0.96,0.94,0.98,0.88,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
11924,1022,1022,1.0,1.0,1.0,0.96,0.94,0.98,0.88,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
11944,1022,1022,1.0,1.0,1.0,0.96,0.94,0.98,0.86,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
11964,1022,1022,1.0,1.0,1.0,0.96,0.94,1.0,0.84,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
11984,1022,1022,1.0,1.0,1.0,0.96,0.94,1.0,0.86,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
12004,1022,1022,1.0,1.0,1.0,0.96,0.94,1.0,0.88,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
12024,1022,1022,1.0,1.0,1.0,0.96,0.94,1.0,0.88,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
12045,1022,1022,1.0,1.0,1.0,0.96,0.94,1.0,0.88,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
12065,1022,1022,1.0,1.0,1.0,0.96,0.94,1.0,0.88,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
12086,1022,1022,1.0,1.0,1.0,0.96,0.94,1.0,0.88,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
12106,1022,1022,1.0,1.0,1.0,0.96,0.94,1.0,0.9,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
12126,1022,1022,1.0,1.0,1.0,0.96,0.94,1.0,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
12147,1022,1022,1.0,1.0,1.0,0.98,0.94,1.0,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
12168,1022,1022,1.0,1.0,1.0,0.98,0.94,1.0,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
12189,1022,1022,1.0,1.0,1.0,0.98,0.94,0.98,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
