timestamp,meanLeft,meanRight,varS1,varS2,varS3,varS4,varS5,varS6,varS7,varS8,varS9,varS10,varS11,varS12,varS13,varS14,varS15,varS16
21117,1022,1022,1.0,0.96,0.96,0.96,0.9,0.9,0.92,0.94,0.96,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21138,1022,1022,1.0,0.96,0.96,0.96,0.9,0.9,0.94,0.94,0.96,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21159,1022,1022,1.0,0.96,0.96,0.96,0.9,0.88,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21180,1022,1022,0.98,0.96,0.96,0.96,0.9,0.88,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21202,1022,1022,0.98,0.96,0.94,0.96,0.9,0.88,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21222,1022,1022,0.98,0.96,0.94,0.96,0.9,0.88,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21242,1022,1022,0.98,0.96,0.94,0.96,0.9,0.88,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21263,1022,1022,0.98,0.96,0.94,0.96,0.9,0.88,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21283,1022,1022,0.98,0.96,0.92,0.96,0.9,0.88,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21303,1022,1022,0.98,0.96,0.92,0.96,0.9,0.88,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21323,1022,1022,0.98,0.96,0.92,0.98,0.9,0.88,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21343,1022,1022,0.98,0.96,0.92,1.0,0.9,0.88,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21363,1022,1022,0.98,0.96,0.92,1.0,0.9,0.88,0.94,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
21386,1022,1022,0.98,0.96,0.94,1.0,0.9,0.88,0.94,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
21406,1022,1022,0.98,0.96,0.94,1.0,0.9,0.88,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
21431,1022,1022,0.98,0.96,0.94,1.0,0.9,0.88,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
21452,1022,1022,0.98,0.96,0.94,0.98,0.9,0.88,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
21473,1022,1022,0.98,0.96,0.94,0.98,0.9,0.88,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
21494,1022,1022,0.98,0.96,0.94,0.98,0.9,0.88,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
21514,1022,1022,0.98,0.96,0.94,0.98,0.9,0.88,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
21534,1022,1022,0.98,0.96,0.94,0.98,0.9,0.88,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
21555,1022,1022,0.98,0.96,0.94,0.98,0.9,0.88,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
21577,1022,1022,0.98,0.96,0.94,0.98,0.9,0.88,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
21597,1022,1022,0.98,0.96,0.94,0.98,0.9,0.9,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
21617,1022,1022,0.98,0.96,0.94,0.98,0.9,0.9,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
21638,1022,1022,0.98,0.96,0.94,0.98,0.92,0.88,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
21659,1022,1022,0.98,0.96,0.94,0.98,0.92,0.88,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
21680,1022,1022,0.98,0.96,0.94,0.98,0.9,0.88,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
21701,1022,1022,0.98,0.96,0.94,0.98,0.9,0.86,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
21721,1022,1022,0.96,0.96,0.94,0.98,0.9,0.84,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
21741,1022,1022,0.96,0.96,0.94,0.98,0.9,0.84,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
21762,1022,1022,0.96,0.96,0.94,0.98,0.9,0.84,0.94,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
21783,1022,1022,0.96,0.96,0.94,0.98,0.9,0.84,0.94,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
21803,1022,1022,0.94,0.96,0.94,0.98,0.92,0.84,0.94,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
21825,1022,1022,0.94,0.96,0.94,0.98,0.94,0.84,0.94,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
21846,1022,1022,0.94,0.96,0.94,0.98,0.94,0.84,0.94,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
21867,1022,1022,0.94,0.96,0.94,0.98,0.94,0.84,0.94,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
21888,1022,1022,0.94,0.96,0.94,0.98,0.94,0.84,0.94,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
21908,1022,1022,0.94,0.96,0.94,0.98,0.94,0.84,0.94,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
21928,1022,1022,0.94,0.96,0.96,0.98,0.94,0.84,0.94,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
21949,1022,1022,0.94,0.96,0.96,0.98,0.94,0.86,0.94,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
21969,1022,1022,0.94,0.96,0.96,0.98,0.94,0.88,0.94,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
21990,1022,1022,0.94,0.94,0.96,0.98,0.94,0.88,0.94,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22011,1022,1022,0.94,0.94,0.96,0.98,0.94,0.9,0.94,1.0,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22032,1022,1022,0.94,0.94,0.96,0.98,0.94,0.9,0.96,1.0,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22052,1022,1022,0.94,0.94,0.96,0.98,0.96,0.9,0.96,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22072,1022,1022,0.94,0.94,0.96,0.98,0.98,0.9,0.96,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22093,1022,1022,0.94,0.96,0.96,0.98,0.98,0.9,0.96,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22113,1022,1022,0.94,0.96,0.96,0.98,0.98,0.9,0.98,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22134,1022,1022,0.94,0.96,0.96,0.98,0.98,1.88,0.98,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22154,1022,1022,0.94,0.96,0.96,0.98,0.98,9.08,0.98,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22174,1022,1022,0.94,0.96,0.96,0.98,0.98,25.88,0.98,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22196,1022,1022,0.94,0.96,0.96,0.98,0.98,57.88,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22216,1022,1022,0.96,0.96,0.96,0.98,0.98,96.58,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22237,1022,1022,0.96,0.96,4.88,0.98,0.98,166.18,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22258,1022,1022,0.94,0.96,38.48,0.98,0.98,266.98,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22279,1021,1022,3.82,3.88,142.76,10.26,3.94,380.42,4.0,4.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
