meanLeft,meanRight,varS1,varS2,varS3,varS4,varS5,varS6,varS7,varS8,varS9,varS10,varS11,varS12,varS13,varS14,varS15,varS16,class
1022,1022,0.96,0.96,0.96,1,1,0.96,1,0.96,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,none
1022,1022,0.96,0.96,0.96,1,1,0.96,1,0.96,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,none
1022,1022,0.96,0.96,0.96,1,1,0.96,1,0.98,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
1022,1022,0.96,0.96,0.96,1,1,0.96,1,0.98,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
1022,1022,0.96,0.96,0.96,1,1,0.96,1,0.98,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
1022,1022,0.96,0.96,0.96,1,1,0.96,1,0.98,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
1022,1022,0.96,0.96,0.96,1,1,0.96,1,0.98,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
1022,1022,0.96,0.96,0.96,1,1,0.96,0.98,0.98,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
1022,1022,0.96,0.96,0.96,1,1,0.96,0.96,0.96,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,none
1022,1022,0.96,0.96,0.96,1,1,0.94,0.96,0.96,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,none
1022,1022,0.96,0.94,0.96,1,1,0.94,0.96,0.96,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,none
1022,1022,0.96,0.94,0.96,1,1,0.94,0.96,0.96,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,none
1022,1022,0.96,0.94,0.96,1,1,0.94,0.96,0.96,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,none
1022,1022,0.96,0.94,0.96,1,1,0.94,0.96,0.96,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,none
1022,1022,0.96,0.94,0.96,1.96,39.7,0.94,32.94,0.96,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,none
1021,1022,3.88,31.12,3.88,185.06,206.44,3.82,366.96,3.88,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,none
1019,1021,15.72,1115.92,15.72,1468.52,663.1,15.58,984.24,15.72,3.82,3.88,3.88,3.88,3.88,3.88,3.88,3.88,none
1016,1019,48.48,3253.16,48.48,3893.12,1663.48,47.96,2097.16,47.82,15.72,15.42,15.42,15.42,15.42,15.42,15.42,15.42,none
1013,1017,99.24,7260.74,99.24,6866.84,3162.1,98.48,3791.38,197.04,35.56,146.8,146.8,146.8,146.8,146.8,146.8,146.8,none
