meanLeft,meanRight,varS1,varS2,varS3,varS4,varS5,varS6,varS7,varS8,varS9,varS10,varS11,varS12,varS13,varS14,varS15,varS16,class
1022,1022,0.94,0.96,0.96,0.96,0.98,0.98,0.96,1,0.98,1,1,1,1,1,1,1,none
1022,1022,0.94,0.96,0.96,0.96,0.98,0.98,0.96,1,0.98,1,1,1,1,1,1,1,none
1022,1022,0.94,0.96,0.96,0.96,0.98,0.98,0.96,1,0.98,1,1,1,1,1,1,1,none
1022,1022,0.94,0.96,0.96,0.96,1,0.98,0.96,1,0.98,1,1,1,1,1,1,1,none
1022,1022,0.94,0.96,0.96,0.96,1,0.98,0.96,1,0.98,1,1,1,1,1,1,1,none
1022,1022,0.94,0.96,0.96,0.96,1,0.98,0.96,1,0.98,1,1,1,1,1,1,1,none
1022,1022,0.96,0.96,0.96,0.96,1,0.98,0.96,1,0.98,1,1,1,1,1,1,1,none
1022,1022,0.98,0.96,0.96,0.96,1,0.98,0.96,1,0.98,1,1,1,1,1,1,1,none
1022,1022,0.98,0.96,0.96,0.96,1,0.98,0.96,1,0.98,1,1,1,1,1,1,1,none
1022,1022,0.98,0.96,0.96,0.96,1,0.98,0.96,1,0.98,1,1,1,1,1,1,1,none
1022,1022,0.98,0.96,0.96,0.96,1,0.98,0.96,1,0.98,1,1,1,1,1,1,1,none
1022,1022,0.98,0.96,0.96,0.96,1,0.96,0.94,1,0.98,1,1,1,1,1,1,1,none
1022,1022,0.98,0.96,0.96,0.96,1,0.96,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
1022,1022,0.98,0.96,0.96,0.96,1,0.94,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
1022,1022,0.98,0.96,0.96,0.96,1,0.94,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
1022,1022,0.98,0.96,0.96,0.96,1,0.94,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
1022,1022,0.98,0.96,0.96,0.96,1,0.94,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
1022,1022,0.98,0.96,0.96,0.96,1,0.94,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
1022,1022,0.98,0.96,0.96,0.96,1,0.96,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
1022,1022,0.98,0.98,0.96,0.96,1,0.96,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
1022,1022,0.98,0.98,0.96,0.96,1,0.96,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
1022,1022,0.98,0.98,0.96,0.96,1,0.96,29.78,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
1022,1022,0.98,0.98,0.96,0.96,1,0.96,139.28,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
1022,1022,0.98,0.98,0.96,0.96,5.48,0.96,347.34,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
1021,1022,3.94,3.94,3.88,3.88,43.04,3.88,624.64,3.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
1021,1022,3.94,3.94,3.88,3.88,161.54,3.88,1136.56,3.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
1020,1021,8.9,8.9,8.8,8.8,301.92,8.8,1798.34,8.9,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,none
1019,1020,15.86,15.86,15.72,15.72,545.98,15.72,2609.7,15.56,8.9,8.8,8.8,8.8,8.8,8.8,8.8,8.8,none
1018,1019,24.82,24.64,24.64,24.64,921.72,24.64,3585.76,73.82,15.86,67.26,67.26,67.26,67.26,67.26,67.26,67.26,none
1017,1018,35.78,35.56,35.56,35.56,1490.64,35.56,4810.94,250.94,24.82,246.3,246.3,246.3,246.3,246.3,246.3,246.3,none
1015,1016,63.7,63.4,73.64,63.4,2272.58,62.3,6328.64,577.44,48.74,574.12,574.12,574.12,574.12,574.12,574.12,574.12,none
1013,1013,99.62,99.24,304.92,99.24,3350.98,378.48,8076.88,1014.4,99.62,1014.4,1014.4,1014.4,1014.4,1014.4,1014.4,1014.4,none
1010,1011,168.5,168,686.08,168,4502.98,1018.74,9888.2,1748.26,143.54,1749.3,1749.3,1749.3,1749.3,1749.3,1749.3,1749.3,none
1007,1008,255.38,254.76,1755.16,254.76,5771.86,1845.46,11923.66,2875.4,224.42,2880.56,2880.56,2880.56,2880.56,2880.56,2880.56,2880.56,squeeze
1003,1004,399.22,398.44,3442.6,398.44,7211.7,3027.78,14041.9,4218.76,360.26,4227.12,4227.12,4227.12,4227.12,4227.12,4227.12,4227.12,squeeze
999,1001,575.06,573.18,6152.76,574.12,8961.3,4666.2,16459.1,5706.3,483.14,5732.94,5732.94,5732.94,5732.94,5732.94,5732.94,5732.94,squeeze
