meanLeft,meanRight,varS1,varS2,varS3,varS4,varS5,varS6,varS7,varS8,varS9,varS10,varS11,varS12,varS13,varS14,varS15,varS16,class
1022,1022,0.96,0.88,0.96,1,0.98,0.94,0.98,0.9,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,none
1022,1022,0.96,0.88,0.96,1,0.98,0.92,0.98,0.9,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,none
1022,1022,0.96,0.88,0.96,1,0.98,0.92,0.98,0.9,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,none
1022,1022,0.96,0.88,0.96,1,0.98,0.92,0.98,0.9,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,none
1022,1022,0.96,0.88,0.94,1,0.98,0.92,0.98,0.9,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,none
1022,1022,0.96,0.86,0.92,1,0.98,0.92,0.98,0.9,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,none
1022,1022,0.96,0.86,0.92,1,0.98,0.92,0.98,0.9,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,none
1022,1022,0.96,0.86,0.92,1,0.98,0.92,0.98,0.9,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,none
1022,1022,0.96,0.86,0.92,1,0.98,0.92,0.98,0.9,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,none
1022,1022,0.96,0.86,0.92,1,0.98,0.92,0.98,0.9,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,none
1022,1022,0.96,0.86,0.92,1,0.98,0.92,0.98,0.9,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,none
1022,1022,0.96,0.86,0.92,1,0.98,0.92,0.98,0.9,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,none
1022,1022,0.96,0.86,0.92,1,0.98,0.92,0.98,0.9,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,none
1022,1022,0.96,0.86,0.92,1,0.98,0.92,0.98,0.9,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,none
1022,1022,0.96,0.86,0.92,1,0.98,0.92,0.98,0.92,1,0.92,0.92,0.92,0.92,0.92,0.92,0.92,none
1022,1022,0.96,0.86,0.92,1,0.98,0.92,0.98,0.94,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.96,0.88,0.92,1,0.98,0.92,0.96,0.94,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.96,0.9,0.92,0.98,0.98,0.92,0.94,0.92,1,0.92,0.92,0.92,0.92,0.92,0.92,0.92,none
1022,1022,0.96,0.9,0.92,0.96,0.98,0.92,0.94,0.92,1,0.92,0.92,0.92,0.92,0.92,0.92,0.92,none
1022,1022,0.96,0.9,0.94,0.96,0.98,0.92,0.94,0.92,1,0.92,0.92,0.92,0.92,0.92,0.92,0.92,none
1022,1022,0.96,0.9,0.94,0.96,0.98,0.92,0.94,0.92,1,0.92,0.92,0.92,0.92,0.92,0.92,0.92,none
1022,1022,0.96,0.9,0.94,0.96,0.98,0.92,0.94,0.92,1,0.92,0.92,0.92,0.92,0.92,0.92,0.92,none
1022,1022,0.96,0.9,0.94,7.42,0.98,0.92,0.94,0.92,1,0.92,0.92,0.92,0.92,0.92,0.92,0.92,none
1022,1022,0.96,0.9,0.94,57.4,0.96,0.92,0.94,0.92,1,0.92,0.92,0.92,0.92,0.92,0.92,0.92,none
1022,1022,0.96,0.9,0.94,139.3,0.96,0.92,0.94,0.92,1,0.92,0.92,0.92,0.92,0.92,0.92,0.92,none
1022,1022,0.98,0.9,0.94,248.8,0.96,0.92,0.94,0.92,1,0.92,0.92,0.92,0.92,0.92,0.92,0.92,none
1022,1022,1,0.9,0.94,355.36,0.96,0.92,0.94,0.92,1,0.92,0.92,0.92,0.92,0.92,0.92,0.92,none
1022,1022,1,0.9,0.94,477.02,0.96,0.92,0.94,0.92,1,0.92,0.92,0.92,0.92,0.92,0.92,0.92,none
1021,1022,4,3.7,3.82,587.02,3.88,3.76,3.82,3.76,1,0.92,0.92,0.92,0.92,0.92,0.92,0.92,none
1021,1022,4,3.7,3.82,711.76,3.88,3.76,3.82,3.76,1,0.92,0.92,0.92,0.92,0.92,0.92,0.92,none
1021,1022,4,3.7,3.88,836.5,3.88,3.76,3.82,3.76,1,0.92,0.92,0.92,0.92,0.92,0.92,0.92,none
1021,1022,4,3.7,3.88,951.94,3.88,3.76,3.82,3.76,1,0.92,0.92,0.92,0.92,0.92,0.92,0.92,none
1021,1022,4,3.7,3.88,1052.68,3.88,3.76,3.82,3.82,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1020,1022,9,8.5,8.8,1075.2,8.8,8.6,8.7,8.7,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1020,1022,9,8.5,8.8,1075.02,8.8,8.6,8.6,8.7,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1020,1022,9,8.6,8.8,1075.02,8.8,8.6,8.6,8.7,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1020,1022,9,8.7,8.8,1075.02,8.8,8.7,8.6,8.7,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1020,1022,9,8.8,8.8,1075.02,8.8,8.8,8.6,8.7,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1020,1022,9,8.9,8.8,1075.02,8.9,8.8,8.6,8.7,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1020,1022,9,8.9,8.7,1075.02,8.9,8.7,8.6,8.7,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1020,1022,9,8.9,8.7,1075.02,8.9,8.7,8.6,8.7,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1020,1022,8.9,8.9,8.7,1075.02,8.9,8.7,8.6,8.7,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1020,1022,8.9,8.9,8.7,1075.02,8.9,8.7,8.6,8.7,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1020,1022,8.9,8.9,8.7,1075.02,8.9,8.7,8.6,8.7,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1020,1022,8.9,8.9,8.7,1077.72,8.8,8.7,8.6,8.7,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1020,1022,8.9,8.9,8.7,1162.04,8.8,8.7,8.6,8.7,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1020,1022,8.9,8.9,8.7,1296.34,8.8,8.7,8.6,8.7,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1020,1022,8.9,8.9,8.7,1451.04,8.8,8.7,8.6,8.7,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
