timestamp,meanLeft,meanRight,varS1,varS2,varS3,varS4,varS5,varS6,varS7,varS8,varS9,varS10,varS11,varS12,varS13,varS14,varS15,varS16
8088,1022,1022,0.98,0.96,0.96,1.0,0.96,0.94,0.96,0.8,0.96,0.8,0.8,0.8,0.8,0.8,0.8,0.8,
8108,1022,1022,0.98,0.96,0.96,1.0,0.96,0.94,0.94,0.8,0.96,0.8,0.8,0.8,0.8,0.8,0.8,0.8,
8129,1022,1022,1.0,0.96,0.96,1.0,0.96,0.94,0.94,0.82,0.96,0.82,0.82,0.82,0.82,0.82,0.82,0.82,
8150,1022,1022,1.0,0.96,0.96,1.0,0.96,0.94,0.94,0.84,0.96,0.84,0.84,0.84,0.84,0.84,0.84,0.84,
8170,1022,1022,1.0,0.96,0.96,1.0,0.96,0.94,0.94,0.84,0.96,0.84,0.84,0.84,0.84,0.84,0.84,0.84,
8191,1022,1022,1.0,0.96,0.96,1.0,0.96,0.94,0.94,0.86,0.96,0.86,0.86,0.86,0.86,0.86,0.86,0.86,
8211,1022,1022,1.0,0.96,0.96,1.0,0.96,0.94,0.94,0.86,0.96,0.86,0.86,0.86,0.86,0.86,0.86,0.86,
8232,1022,1022,1.0,0.96,0.96,1.0,0.96,0.94,0.94,0.86,0.96,0.86,0.86,0.86,0.86,0.86,0.86,0.86,
8253,1022,1022,1.0,0.96,0.96,1.0,0.96,0.94,0.94,0.86,0.96,0.86,0.86,0.86,0.86,0.86,0.86,0.86,
8273,1022,1022,1.0,0.96,0.96,1.0,0.96,0.94,0.94,0.86,0.96,0.86,0.86,0.86,0.86,0.86,0.86,0.86,
8293,1022,1022,1.0,0.96,0.96,1.0,0.96,0.94,0.94,0.86,0.96,0.86,0.86,0.86,0.86,0.86,0.86,0.86,
8313,1022,1022,1.0,0.96,0.96,1.0,0.96,0.96,0.92,0.86,0.96,0.86,0.86,0.86,0.86,0.86,0.86,0.86,
8333,1022,1022,1.0,0.96,0.96,1.0,0.96,0.98,0.92,0.86,0.96,0.86,0.86,0.86,0.86,0.86,0.86,0.86,
