[1,1423954680258,acc,x,0.2681506
, 1,1423954680258,acc,y,0.34476504
, 1,1423954680258,acc,z,10.266336
, 2,1423954680277,acc,x,0.076614454
, 2,1423954680277,acc,y,0.38307226
, 2,1423954680277,acc,z,9.653421
, 3,1423954680297,acc,x,0.076614454
, 3,1423954680297,acc,y,0.34476504
, 3,1423954680298,acc,z,9.730036
, 4,1423954680327,acc,x,0.19153613
, 4,1423954680327,acc,y,0.38307226
, 4,1423954680327,acc,z,10.0748005
, 5,1423954680347,acc,x,0.076614454
, 5,1423954680347,acc,y,0.38307226
, 5,1423954680348,acc,z,9.653421
, 6,1423954680367,acc,x,0.15322891
, 6,1423954680368,acc,y,0.34476504
, 6,1423954680369,acc,z,9.998186
, 7,1423954680387,acc,x,0.11492168
, 7,1423954680387,acc,y,0.38307226
, 7,1423954680387,acc,z,9.768343
, 8,1423954680407,acc,x,0.15322891
, 8,1423954680408,acc,y,0.34476504
, 8,1423954680408,acc,z,9.959879
, 9,1423954680427,acc,x,0.19153613
, 9,1423954680428,acc,y,0.34476504
, 9,1423954680428,acc,z,10.036493
, 10,1423954680447,acc,x,0.11492168
, 10,1423954680447,acc,y,0.38307226
, 10,1423954680447,acc,z,9.80665
, 11,1423954680473,acc,x,0.19153613
, 11,1423954680474,acc,y,0.38307226
, 11,1423954680474,acc,z,9.998186
, 12,1423954680487,acc,x,0.11492168
, 12,1423954680487,acc,y,0.34476504
, 12,1423954680487,acc,z,9.844957
, 13,1423954680509,acc,x,0.19153613
, 13,1423954680509,acc,y,0.34476504
, 13,1423954680509,acc,z,9.998186
, 14,1423954680512,rot,a,-63.950685538425034
, 14,1423954680512,rot,p,-2.125903636242462
, 14,1423954680512,rot,r,-0.9570090740702805
, 15,1423954680527,acc,x,0.15322891
, 15,1423954680527,acc,y,0.34476504
, 15,1423954680527,acc,z,9.959879
, 16,1423954680548,acc,x,0.19153613
, 16,1423954680548,acc,y,0.34476504
, 16,1423954680548,acc,z,9.998186
, 17,1423954680567,acc,x,0.15322891
, 17,1423954680567,acc,y,0.34476504
, 17,1423954680567,acc,z,9.921572
, 18,1423954680588,acc,x,0.15322891
, 18,1423954680589,acc,y,0.38307226
, 18,1423954680589,acc,z,9.921572
, 19,1423954680608,acc,x,0.15322891
, 19,1423954680608,acc,y,0.34476504
, 19,1423954680608,acc,z,9.959879
, 20,1423954680647,acc,x,0.15322891
, 20,1423954680647,acc,y,0.38307226
, 20,1423954680647,acc,z,9.921572
