eventIndex,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,tapType
30,9.959879,9.959879,9.921572,9.921572,9.921572,9.921572,10.151415,9.844957,9.921572,9.921572,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.959879,9.921572,9.921572,9.921572,notap
31,9.959879,9.921572,9.921572,9.921572,9.921572,10.151415,9.844957,9.921572,9.921572,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.959879,9.921572,9.921572,9.921572,9.959879,notap
32,9.921572,9.921572,9.921572,9.921572,10.151415,9.844957,9.921572,9.921572,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,notap
33,9.921572,9.921572,9.921572,10.151415,9.844957,9.921572,9.921572,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,notap
34,9.921572,9.921572,10.151415,9.844957,9.921572,9.921572,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.959879,notap
35,9.921572,10.151415,9.844957,9.921572,9.921572,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.959879,9.921572,notap
36,10.151415,9.844957,9.921572,9.921572,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.959879,9.921572,9.921572,notap
37,9.844957,9.921572,9.921572,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,notap
38,9.921572,9.921572,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.959879,notap
39,9.921572,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,notap
40,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,notap
41,9.921572,9.959879,9.921572,9.959879,9.959879,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,notap
