timestamp,meanLeft,meanRight,varS1,varS2,varS3,varS4,varS5,varS6,varS7,varS8,varS9,varS10,varS11,varS12,varS13,varS14,varS15,varS16
12787,1022,1022,1.0,1.0,0.98,1.0,0.98,0.96,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
12807,1022,1022,1.0,1.0,0.98,1.0,0.98,0.96,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
12827,1022,1022,1.0,1.0,0.98,1.0,0.98,0.96,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
12848,1022,1022,1.0,1.0,0.98,0.98,0.98,0.96,0.92,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
12868,1022,1022,1.0,1.0,1.0,0.98,0.98,0.96,0.92,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
12888,1022,1022,1.0,1.0,1.0,0.98,0.98,0.96,0.92,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
12908,1022,1022,1.0,1.0,1.0,0.98,0.98,0.96,0.92,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
12929,1022,1022,1.0,1.0,1.0,0.98,0.98,0.96,0.92,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
12950,1022,1022,1.0,1.0,1.0,0.98,0.98,0.96,0.92,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
12970,1022,1022,1.0,1.0,0.98,0.98,0.98,0.96,0.92,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
12991,1022,1022,1.0,1.0,0.96,0.98,0.98,0.96,0.92,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
13011,1022,1022,1.0,0.98,0.96,0.98,0.98,0.96,0.92,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
13032,1022,1022,1.0,0.96,0.96,0.98,0.98,0.98,0.92,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
13052,1022,1022,1.0,0.96,0.96,0.98,0.98,0.98,0.92,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
13073,1022,1022,1.0,0.96,0.94,0.98,0.98,0.98,0.92,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
13093,1022,1022,1.0,0.96,0.94,0.98,0.96,0.98,0.92,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
13113,1022,1022,1.0,0.96,0.94,0.98,0.96,0.98,0.92,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
13133,1022,1022,1.0,0.96,0.94,0.98,0.96,0.98,0.92,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
13153,1022,1022,1.0,0.96,0.94,0.98,0.96,0.98,0.92,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
13174,1022,1022,1.0,0.96,0.94,0.98,0.96,0.98,0.92,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
13194,1022,1022,1.0,0.96,0.94,0.98,0.96,0.98,0.92,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
13215,1022,1022,1.0,0.96,0.94,0.98,0.96,0.98,0.92,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
13235,1022,1022,1.0,0.96,0.94,0.98,0.96,0.98,0.92,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
13255,1022,1022,1.0,0.96,0.94,0.98,0.96,0.98,0.92,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
13275,1022,1022,1.0,0.96,0.94,0.98,0.96,0.98,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
13295,1022,1022,1.0,0.96,0.94,0.98,0.96,0.98,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
13316,1022,1022,1.0,0.96,0.94,0.98,0.96,0.98,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
13336,1022,1022,1.0,0.96,0.94,0.98,0.96,0.98,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
13356,1022,1022,1.0,0.96,0.94,0.98,0.96,0.98,0.94,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
13376,1022,1022,1.0,0.96,0.94,0.98,0.96,1.0,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
13396,1022,1022,1.0,0.96,0.94,0.98,0.96,1.0,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
13416,1022,1022,1.0,0.96,0.94,0.98,0.98,1.0,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
13436,1022,1022,1.0,0.96,0.94,0.98,0.98,1.0,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
13456,1022,1022,1.0,0.96,0.94,0.98,0.98,1.0,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
13477,1022,1022,1.0,0.96,0.94,0.98,0.98,1.0,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
13497,1022,1022,1.0,0.96,0.94,0.98,0.98,1.0,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
13517,1022,1022,1.0,0.96,0.94,0.98,0.98,1.0,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
13537,1022,1022,1.0,0.96,0.94,0.98,0.98,1.0,0.94,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
13557,1022,1022,1.0,0.96,0.94,0.98,0.98,1.0,0.94,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
13577,1022,1022,1.0,0.96,0.94,0.98,0.98,1.0,0.94,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
13597,1022,1022,1.0,0.94,0.94,0.98,0.98,1.0,0.94,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
13618,1022,1022,1.0,0.94,0.94,0.98,0.98,1.0,0.96,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
13638,1022,1022,1.0,0.94,0.94,0.98,0.98,1.0,0.98,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13659,1022,1022,1.0,0.94,0.94,0.98,0.98,1.0,0.98,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13679,1022,1022,1.0,0.94,0.94,0.98,0.98,1.0,0.98,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13699,1022,1022,1.0,0.94,0.92,0.98,0.98,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
