var_x,delta var_x,mean_x,var_y,delta var_y,mean_y,var_z,delta var_z,mean_z,class
0.024873171,0,1.168370443,0.003653923,0,5.32853538,0.006676914,0,8.40843655,none
0.023812946,-0.001060225,1.135809303,0.003708952,5.50295E-05,5.33045075,0.005150754,-0.00152616,8.41609805,none
0.025867368,0.002054422,1.116655688,0.003521854,-0.000187098,5.324704675,0.005264484,0.00011373,8.41801345,none
0.027749365,0.001881997,1.099417433,0.002876183,-0.000645671,5.31704325,0.004765548,-0.000498935,8.42567495,none
0.02694227,-0.000807095,1.080263815,0.002920207,4.40237E-05,5.320873975,0.004472061,-0.000293488,8.42950565,none
0.03074295,0.00380068,1.053448755,0.004031792,0.001111585,5.326620045,0.003756675,-0.000715386,8.43525175,none
0.034319844,0.003576894,1.024718335,0.004295931,0.000264139,5.330450765,0.003756675,0,8.43525175,none
0.033351332,-0.000968512,1.001733998,0.004295931,0,5.330450765,0.003650285,-0.00010639,8.4371671,none
0.037049288,0.003697956,0.974918938,0.003947416,-0.000348515,5.328535415,0.003650285,0,8.4371671,none
0.031711461,-0.005337827,0.946188513,0.003738307,-0.000209109,5.326620065,0.002270882,-0.001379403,8.44482855,none
0.025133642,-0.006577819,0.925119533,0.003738306,-3.63919E-10,5.32278934,0.002274551,3.66895E-06,8.44674395,none
0.026982619,0.001848977,0.890643028,0.004325279,0.000586973,5.32662004,0.002406621,0.00013207,8.4505747,none
0.020613913,-0.006368706,0.863827968,0.004824206,0.000498927,5.334281465,0.00256804,0.000161419,8.44674395,none
0.021024797,0.000410884,0.848505078,0.004563736,-0.000260471,5.336196825,0.003287083,0.000719043,8.45057465,none
0.02982946,0.008804662,0.817859296,0.007172112,0.002608376,5.35343506,0.005224104,0.001937021,8.458236075,none
0.069479786,0.039650327,0.764229177,0.013041889,0.005869777,5.37258868,0.011387376,0.006163272,8.435251725,none
0.083218734,0.013738948,0.777636712,0.013118929,7.70399E-05,5.385996195,0.015716346,0.00432897,8.416098075,none
0.124894131,0.041675397,0.815943937,0.034176747,0.021057818,5.35918113,0.024253171,0.008536825,8.440997725,none
0.217808999,0.092914868,0.875320142,0.11447528,0.080298533,5.297889555,0.027309127,0.003055956,8.454405275,motion
