id,value,timestamp
1,1023,29474
2,1023,29474
3,1023,29474
4,1023,29474
5,1023,29474
6,1023,29474
7,1023,29474
8,1023,29474
9,1023,29474
10,1023,29474
11,1023,29474
12,1023,29474
13,1023,29475
14,1023,29475
15,1023,29475
16,1023,29475
1,1023,29475
2,1023,29475
3,1023,29475
4,1023,29475
5,1023,29475
6,1023,29475
7,1023,29475
8,1023,29475
9,1023,29475
10,1023,29475
11,1023,29475
12,1023,29475
13,1023,29475
14,1023,29475
15,1023,29475
16,1023,29475
1,1023,29475
2,1023,29475
3,1023,29475
4,1023,29475
5,1023,29475
6,1023,29475
7,1023,29475
8,1023,29475
9,1023,29475
10,1023,29475
11,1023,29475
12,1023,29475
13,1023,29475
14,1023,29475
15,1023,29475
16,1023,29475
1,1023,29475
2,1023,29475
3,1023,29475
4,1023,29475
5,1023,29475
6,1023,29475
7,1023,29475
8,1023,29475
9,1023,29475
10,1023,29475
11,1023,29475
12,1023,29475
13,1023,29475
14,1023,29475
15,1023,29475
16,1023,29475
1,1023,29475
2,1023,29475
3,1023,29475
4,1023,29475
5,1023,29475
6,1023,29475
7,1023,29475
8,1023,29475
9,1023,29475
10,1023,29475
11,1023,29475
12,1023,29475
13,1023,29475
14,1023,29475
15,1023,29475
16,1023,29475
1,1023,29475
2,1023,29475
3,1023,29475
4,1023,29475
5,1023,29475
6,1023,29475
7,1023,29475
8,1023,29475
9,1023,29475
10,1023,29475
11,1023,29475
12,1023,29475
13,1023,29475
14,1023,29475
15,1023,29475
16,1023,29475
1,1023,29475
2,1023,29475
3,1023,29475
4,1023,29475
5,1023,29475
6,1023,29476
7,1023,29476
8,1023,29476
9,1023,29476
10,1023,29476
11,1023,29476
12,1023,29476
13,1023,29476
14,1023,29476
15,1023,29476
16,1023,29476
1,1023,29476
2,1023,29476
3,1023,29476
4,1023,29476
5,1023,29476
6,1023,29476
7,1023,29476
8,1023,29476
9,1023,29476
10,1023,29476
11,1023,29476
12,1023,29476
13,1023,29476
14,1023,29476
15,1023,29476
16,1023,29476
1,1023,29476
2,1023,29476
3,1023,29476
4,1023,29476
5,1023,29476
6,1023,29476
7,1023,29476
8,1023,29476
9,1023,29476
10,1023,29476
11,1023,29476
12,1023,29476
13,1023,29476
14,1023,29476
15,1023,29476
16,1023,29476
1,1023,29476
2,1023,29476
3,1023,29476
4,1023,29476
5,1023,29476
6,1023,29476
7,1023,29476
8,1023,29476
9,1023,29476
10,1023,29476
11,1023,29476
12,1023,29476
13,1023,29476
14,1023,29476
15,1023,29476
16,1023,29476
1,1023,29476
2,1023,29476
3,1023,29476
4,1023,29476
5,1023,29476
6,1023,29476
7,1023,29476
8,1023,29476
9,1023,29476
10,1023,29476
11,1023,29476
12,1023,29476
13,1023,29476
14,1023,29476
15,1023,29476
