id,value,timestamp
1,1023,5271
2,1023,5271
3,1023,5271
4,1023,5271
5,1023,5271
6,1023,5271
7,1023,5271
8,1023,5271
9,1022,5271
10,1023,5271
11,1022,5271
12,1023,5271
13,1023,5271
14,1023,5271
15,1023,5271
16,1023,5271
1,1023,5271
2,1023,5271
3,1023,5271
4,1023,5271
5,1023,5271
6,1023,5271
7,1023,5271
8,1023,5271
9,1022,5271
10,1023,5271
11,1022,5271
12,1023,5271
13,1023,5271
14,1023,5271
15,1023,5271
16,1023,5271
1,1023,5271
2,1023,5271
3,1023,5271
4,1023,5271
5,1023,5271
6,1023,5271
7,1023,5271
8,1023,5271
9,1022,5271
10,1023,5271
11,1022,5271
12,1023,5271
13,1023,5271
14,1023,5271
15,1023,5271
16,1023,5271
1,1023,5271
2,1023,5271
3,1023,5271
4,1023,5271
5,1023,5271
6,1023,5271
7,1023,5271
8,1023,5271
9,1022,5271
10,1023,5271
11,1022,5271
12,1023,5271
13,1023,5271
14,1023,5271
15,1023,5271
16,1023,5271
1,1023,5271
2,1023,5271
3,1023,5271
4,1023,5271
5,1023,5271
6,1023,5271
7,1023,5271
8,1023,5271
9,1022,5272
10,1023,5272
11,1022,5272
12,1023,5272
13,1023,5272
14,1023,5272
15,1023,5272
16,1023,5272
1,1023,5272
2,1023,5272
3,1023,5272
4,1023,5272
5,1023,5272
6,1023,5272
7,1023,5272
8,1023,5272
9,1022,5272
10,1023,5272
11,1022,5272
12,1023,5272
13,1023,5272
14,1023,5272
15,1023,5272
16,1023,5272
1,1023,5272
2,1023,5272
3,1023,5272
4,1023,5272
5,1023,5272
6,1023,5272
7,1023,5272
8,1023,5272
9,1022,5272
10,1023,5272
11,1022,5272
12,1023,5272
13,1023,5272
14,1023,5272
15,1023,5272
16,1023,5272
1,1023,5272
2,1023,5272
3,1023,5272
4,1023,5272
5,1023,5272
6,1023,5272
7,1023,5272
8,1023,5272
9,1022,5272
10,1023,5272
11,1022,5272
12,1023,5272
13,1023,5272
14,1023,5272
15,1023,5272
16,1023,5272
1,1023,5272
2,1023,5272
3,1023,5272
4,1023,5272
5,1023,5272
6,1023,5272
7,1023,5272
8,1023,5272
9,1022,5272
10,1023,5272
11,1022,5272
12,1023,5272
13,1023,5272
14,1023,5272
15,1023,5272
16,1023,5272
1,1023,5272
2,1023,5272
3,1023,5272
4,1023,5272
5,1023,5272
6,1023,5272
7,1023,5272
8,1023,5272
9,1022,5273
10,1023,5273
11,1022,5273
12,1023,5273
13,1023,5273
14,1023,5273
15,1023,5273
16,1023,5273
1,1023,5273
2,1023,5273
3,1023,5273
4,1023,5273
5,1023,5273
6,1023,5273
7,1023,5273
8,1023,5273
9,1022,5273
10,1023,5273
11,1022,5273
12,1023,5273
13,1023,5273
14,1023,5273
15,1023,5273
16,1023,5273
1,1023,5273
2,1023,5273
3,1023,5273
4,1023,5273
5,1023,5273
6,1023,5273
7,1023,5273
8,1023,5273
9,1022,5273
10,1023,5273
11,1022,5273
12,1023,5273
13,1023,5273
14,1023,5273
15,1023,5273
16,1023,5273
1,1023,5273
2,1023,5273
3,1023,5273
4,1023,5273
5,1023,5273
6,1023,5273
7,1023,5273
8,1023,5273
9,1022,5273
10,1023,5273
11,1022,5273
12,1023,5273
13,1023,5273
14,1023,5273
15,1023,5273
16,1023,5273
1,1023,5273
2,1023,5273
3,1023,5273
4,1023,5273
5,1023,5273
6,1023,5273
7,1023,5273
8,1023,5273
9,1023,5273
10,1023,5273
11,1023,5273
12,1023,5273
13,1023,5273
14,1023,5273
15,1023,5273
16,1023,5273
1,1023,5273
2,1023,5273
3,1023,5273
4,1023,5273
5,1023,5273
6,1023,5273
7,1023,5274
8,1023,5274
9,1023,5274
10,1023,5274
11,1023,5274
12,1023,5274
13,1023,5274
14,1023,5274
15,1023,5274
16,1023,5274
1,1023,5274
2,1023,5274
3,1023,5274
4,1023,5274
5,1023,5274
6,1023,5274
7,1023,5274
8,1023,5274
9,1023,5274
10,1023,5274
11,1023,5274
12,1023,5274
13,1023,5274
14,1023,5274
15,1023,5274
16,1023,5274
1,1023,5274
2,1023,5274
3,1023,5274
4,1023,5274
5,1023,5274
6,1023,5274
7,1023,5274
8,1023,5274
9,1023,5274
10,1023,5274
11,1023,5274
12,1023,5274
13,1023,5274
14,1023,5274
15,1023,5274
16,1023,5274
1,1023,5274
2,1023,5274
3,1023,5274
4,1023,5274
5,1023,5274
6,1023,5274
7,1023,5274
8,1023,5274
9,1023,5274
10,1023,5274
11,1023,5274
12,1023,5274
13,1023,5274
14,1023,5274
15,1023,5274
16,1023,5274
1,1023,5274
2,1023,5274
3,1023,5274
4,1023,5274
5,1023,5274
6,1023,5274
7,1023,5274
8,1023,5274
9,1023,5274
10,1023,5274
11,1023,5274
12,1023,5274
13,1023,5274
14,1023,5274
15,1023,5274
16,1023,5274
1,1023,5274
2,1023,5274
3,1023,5274
4,1023,5275
5,1023,5275
6,1023,5275
7,1023,5275
8,1023,5275
9,1023,5275
10,1023,5275
11,1023,5275
12,1023,5275
13,1023,5275
14,1023,5275
15,1023,5275
16,1023,5275
1,1023,5275
2,1023,5275
3,1023,5275
4,1023,5275
5,1023,5275
6,1023,5275
7,1023,5275
8,1023,5275
9,1023,5275
10,1023,5275
11,1023,5275
12,1023,5275
13,1023,5275
14,1023,5275
15,1023,5275
16,1023,5275
1,1023,5275
2,1023,5275
3,1023,5275
4,1023,5275
5,1023,5275
6,1023,5275
7,1023,5275
8,1023,5275
9,1023,5275
