id,value,timestamp
1,1023,23130
2,1023,23130
3,1023,23130
4,1023,23130
5,1023,23130
6,1023,23130
7,1023,23130
8,1023,23130
9,1023,23130
10,1023,23130
11,1023,23130
12,1023,23130
13,1023,23130
14,1023,23130
15,1023,23130
16,1023,23130
1,1023,23130
2,1023,23130
3,1023,23130
4,1023,23130
5,1023,23130
6,1023,23130
7,1023,23130
8,1023,23130
9,1023,23130
10,1023,23130
11,1023,23130
12,1023,23130
13,1023,23130
14,1023,23130
15,1023,23130
16,1023,23130
1,1023,23130
2,1023,23130
3,1023,23130
4,1023,23130
5,1023,23130
6,1023,23130
7,1023,23130
8,1023,23130
9,1023,23130
10,1023,23130
11,1023,23130
12,1023,23130
13,1023,23130
14,1023,23130
15,1023,23130
16,1023,23130
1,1023,23130
2,1023,23130
3,1023,23130
4,1023,23130
5,1023,23130
6,1023,23130
7,1023,23130
8,1023,23130
9,1023,23130
10,1023,23130
11,1023,23131
12,1023,23131
13,1023,23131
14,1023,23131
15,1023,23131
16,1023,23131
1,1023,23131
2,1023,23131
3,1023,23131
4,1023,23131
5,1023,23131
6,1023,23131
7,1023,23131
8,1023,23131
9,1023,23131
10,1023,23131
11,1023,23131
12,1023,23131
13,1023,23131
14,1023,23131
15,1023,23131
16,1023,23131
1,1023,23131
2,1023,23131
3,1023,23131
4,1023,23131
5,1023,23131
6,1023,23131
7,1023,23131
8,1023,23131
9,1023,23131
10,1023,23131
11,1023,23131
12,1023,23131
13,1023,23131
14,1023,23131
15,1023,23131
16,1023,23131
1,1023,23131
2,1023,23131
3,1023,23131
4,1023,23131
5,1023,23131
6,1023,23131
7,1023,23131
8,1023,23131
9,1023,23131
10,1023,23131
11,1023,23131
12,1023,23131
13,1023,23131
14,1023,23131
15,1023,23131
16,1023,23131
1,1023,23131
2,1023,23131
3,1023,23131
4,1023,23131
5,1023,23131
6,1023,23131
7,1023,23131
8,1023,23131
9,1023,23131
10,1023,23131
11,1023,23131
12,1023,23131
13,1023,23131
14,1023,23131
15,1023,23131
16,1023,23131
1,1023,23131
2,1023,23131
3,1023,23131
4,1023,23131
5,1023,23131
6,1023,23131
7,1023,23131
8,1023,23131
9,1023,23131
10,1023,23131
11,1023,23131
12,1023,23132
13,1023,23132
14,1023,23132
15,1023,23132
16,1023,23132
1,1023,23132
2,1023,23132
3,1023,23132
4,1023,23132
5,1023,23132
6,1023,23132
7,1023,23132
8,1023,23132
9,1023,23132
10,1023,23132
11,1023,23132
12,1023,23132
13,1023,23132
14,1023,23132
15,1023,23132
16,1023,23132
1,1023,23132
2,1023,23132
3,1023,23132
4,1023,23132
5,1023,23132
6,1023,23132
7,1023,23132
8,1023,23132
9,1023,23132
10,1023,23132
11,1023,23132
12,1023,23132
13,1023,23132
14,1023,23132
15,1023,23132
16,1023,23132
1,1023,23132
2,1023,23132
3,1023,23132
4,1023,23132
5,1023,23132
6,1023,23132
7,1023,23132
8,1023,23132
9,1023,23132
10,1023,23132
11,1023,23132
12,1023,23132
13,1023,23132
14,1023,23132
15,1023,23132
16,1023,23132
1,1023,23132
2,1023,23132
3,1023,23132
4,1023,23132
5,1023,23132
6,1023,23132
7,1023,23132
8,1023,23132
9,1023,23132
10,1023,23132
11,1023,23132
12,1023,23132
13,1023,23132
14,1023,23132
15,1023,23132
16,1023,23132
1,1023,23132
2,1023,23132
3,1023,23132
4,1023,23132
5,1023,23132
6,1023,23132
7,1023,23132
8,1023,23132
9,1023,23132
10,1023,23132
11,1023,23132
12,1023,23132
13,1023,23132
14,1023,23132
15,1023,23132
16,1023,23132
1,1023,23132
2,1023,23132
3,1023,23132
4,1023,23132
5,1023,23132
6,1023,23132
7,1023,23132
8,1023,23132
9,1023,23132
10,1023,23132
11,1023,23132
12,1023,23133
13,1023,23133
14,1023,23133
15,1023,23133
16,1023,23133
1,1023,23133
2,1023,23133
3,1023,23133
4,1023,23133
5,1023,23133
6,1023,23133
7,1023,23133
8,1023,23133
9,1023,23133
10,1023,23133
11,1023,23133
12,1023,23133
13,1023,23133
14,1023,23133
15,1023,23133
16,1023,23133
1,1023,23133
2,1023,23133
3,1023,23133
4,1023,23133
5,1023,23133
6,1023,23133
7,1023,23133
8,1023,23133
9,1023,23133
10,1023,23133
11,1023,23133
12,1023,23133
13,1023,23133
14,1023,23133
15,1023,23133
16,1023,23133
1,1023,23133
2,1023,23133
3,1023,23133
4,1023,23133
5,1023,23133
6,1023,23133
7,1023,23133
8,1023,23133
9,1023,23133
10,1023,23133
11,1023,23133
12,1023,23133
13,1023,23133
14,1023,23133
15,1023,23133
16,1023,23133
1,1023,23133
2,1023,23133
3,1023,23133
4,1023,23133
5,1023,23133
6,1023,23133
7,1023,23133
8,1023,23133
9,1023,23133
10,1023,23133
11,1023,23133
12,1023,23133
13,1023,23133
14,1023,23133
15,1023,23133
16,1023,23133
1,1023,23133
2,1023,23133
3,1023,23133
4,1023,23133
5,1023,23133
6,1023,23133
7,1023,23133
8,1023,23133
9,1023,23133
10,1023,23133
11,1023,23133
12,1023,23133
13,1023,23133
14,1023,23133
15,1023,23133
16,1023,23133
1,1023,23134
2,1023,23134
3,1023,23134
4,1023,23134
5,1023,23134
6,1023,23134
7,1023,23134
8,1023,23134
9,1023,23134
10,1023,23134
11,1023,23134
12,1023,23134
13,1023,23134
14,1023,23134
15,1023,23134
16,1023,23134
1,1023,23134
2,1023,23134
3,1023,23134
4,1023,23134
5,1023,23134
6,1023,23134
7,1023,23134
8,1023,23134
9,1023,23134
10,1023,23134
11,1023,23134
12,1023,23134
13,1023,23134
14,1023,23134
15,1023,23134
16,1023,23134
1,1023,23134
2,1023,23134
3,1023,23134
4,1023,23134
5,1023,23134
6,1023,23134
7,1023,23134
8,1023,23134
9,1023,23134
10,1023,23134
11,1023,23134
12,1023,23134
13,1023,23134
14,1023,23134
15,1023,23134
16,1023,23134
1,1023,23134
2,1023,23134
3,1023,23134
4,1023,23134
5,1023,23134
6,1023,23134
7,1023,23134
8,1023,23134
9,1023,23134
10,1023,23134
11,1023,23134
12,1023,23134
13,1023,23134
14,1023,23134
15,1023,23134
16,1023,23134
1,1023,23134
2,1023,23134
3,1023,23134
4,1023,23134
5,1023,23134
6,1023,23134
7,1023,23134
8,1023,23134
9,1023,23134
10,1023,23134
11,1023,23134
12,1023,23134
13,1023,23134
14,1023,23134
15,1023,23134
16,1023,23134
1,1023,23134
2,1023,23134
3,1023,23134
