timestamp, s1, s2, s3, s4, s5, s6, s7, s8, s9, s10, s11, s12, s13, s14, s15, s16n
86076,1023,1023,1023,767,1023,953,1023,1023,1023,1022,1017,1023,1023,1023,1023,1023
86096,1023,1023,1023,767,1023,954,1022,1023,1023,1022,1018,1023,1023,1023,1023,1023
86117,1023,1023,1023,768,1023,954,1022,1023,1023,1023,1018,1023,1023,1023,1023,1023
86137,1023,1023,1023,767,1023,953,1023,1023,1023,1023,1017,1023,1023,1023,1023,1023
86157,1023,1023,1023,766,1023,954,1023,1023,1023,1023,1017,1023,1023,1023,1023,1023
86177,1023,1023,1023,766,1023,954,1023,1023,1023,1023,1018,1023,1023,1023,1023,1023
86197,1023,1023,1023,767,1023,953,1023,1023,1023,1023,1018,1023,1023,1023,1023,1023
86217,1023,1023,1023,766,1023,953,1023,1023,1023,1023,1018,1023,1023,1023,1023,1023
86237,1023,1023,1023,765,1023,953,1023,1022,1023,1023,1018,1023,1023,1023,1023,1023
86257,1023,1023,1023,765,1023,953,1023,1022,1023,1023,1018,1023,1023,1023,1023,1023
86277,1023,1023,1023,763,1023,952,1023,1023,1023,1023,1018,1023,1023,1023,1023,1023
86297,1023,1023,1023,763,1023,953,1023,1023,1023,1023,1018,1023,1023,1023,1023,1023
86317,1023,1023,1023,763,1023,952,1023,1023,1023,1023,1018,1023,1023,1023,1023,1023
86337,1023,1023,1023,763,1023,952,1023,1023,1023,1023,1018,1023,1023,1023,1023,1023
86357,1023,1023,1023,764,1023,952,1023,1023,1023,1023,1018,1023,1023,1023,1023,1023
86377,1023,1023,1023,764,1023,952,1023,1023,1023,1023,1018,1023,1023,1023,1023,1023
86397,1023,1023,1023,764,1023,952,1023,1023,1023,1023,1018,1023,1023,1023,1023,1023
86417,1023,1023,1023,763,1023,951,1023,1023,1023,1023,1018,1023,1023,1023,1023,1022
86437,1023,1023,1023,760,1023,950,1023,1023,1023,1023,1018,1023,1023,1023,1023,1023
86457,1023,1023,1023,755,1023,950,1023,1023,1023,1023,1018,1023,1023,1023,1023,1023
86477,1023,1023,1023,754,1023,950,1023,1023,1023,1023,1018,1023,1023,1023,1023,1023
86497,1023,1023,1023,752,1023,951,1023,1023,1023,1023,1018,1023,1023,1023,1023,1023
